Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
,1,300,Ground out of 4,,"Garia Station, Garia",:-9 Kolkata,Unfurnished,Bachelors/Fami&;ly,1,Contact Owner,4000
,3,1600,Ground out of 2,,Joka,\-9 Kolkata,Unfurnished,Bachelor:s/Fam{ily,,Contact Owner,6500
44709,1,400,,,Sreebhumi,India-\ Kolkata,Semi-Furnished,"B""achelo{rs",,Contact Agent,8000
44703,2,,,Super Area,Rajarhat,;-9 Kolkata,Unfurnished,Bachelors/Fam-ily$,,Contact Owner,7000
,1,355,1 out of 1,Carpet Area,Dum Dum,India-. Kolkata,Semi-Furnished,Bachel^ors/F&amily,1,Contact Agent,5300
44737,2,1000,,,"Kodalia, Hooghly-Chinsurah",India-> Kolkata,Semi-Furnished,,1,Contact Owner,6000
44734,2,,4 out of 5,Super Area,Baguiati,;-9 Kolkata,Unfurnished,,,,8500
,2,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",,,'Bachelors/;Family,2,Contact Owner,12500
44702,1,350,,Carpet Area,Baghajatin,.-9 Kolkata,Unfurnished,"Bache[lors/Fa,mily",1,Contact Owner,7500
44738,2,900,Ground out of 2,,"Project Kaikhali, Vip Road",India-@ Kolkata,Unfurnished,Bache#lors:/Family,2,Contact Owner,15000
44728,2,550,,Super Area,Vip Road,India-{ Kolkata,Semi-Furnished,Bachelor]s/Fa#mily,1,,6000
44741,2,500,Ground out of 2,Carpet Area,Baruipur,India-[ Kolkata,Unfurnished,"Bachel""or&s/Family",2,Contact Owner,5000
44691,3,1100,2 out of 3,Carpet Area,Dumdum Park,,,B:achelors_/Family,1,Contact Owner,22000
44693,2,850,1 out of 2,Carpet Area,Sreebhumi,India-| Kolkata,Semi-Furnished,,1,Contact Owner,15000
,2,800,2 out of 2,Carpet Area,Shyam Bazar,,Unfurnished,B'ache?lors,1,Contact Agent,12500
44712,2,630,Ground out of 3,Carpet Area,Birati,(-9 Kolkata,Unfurnished,,1,Contact Owner,7000
44722,2.0 room,,1 out of 2,Carpet Area,Bansdroni,\-9 Kolkata,Semi-Furnished,Bac=hel(ors,2,Contact Owner,21000
,1,270,1 out of 2,,Jadavpur University,India-} Kolkata,Semi-Furnished,B$achelors/Fami-ly,,Contact Owner,10000
44741,2,630,Ground out of 1,,Birati,"""-9 Kolkata",Semi-Furnished,,1,Contact Owner,7200
44693,3,1500,Ground out of 2,Carpet Area,Bhadrakali,India-> Kolkata,Furnished,Bache?l/ors,2,Contact Owner,12000
44738,1,600,2 out of 5,,Behala,|-9 Kolkata,Unfurnished,"Bachelors/Fami""l>y",1,Contact Owner,5000
,2,700,,Carpet Area,Baruipur,India-; Kolkata,Semi-Furnished,Bachel*or-s/Family,1,Contact Owner,8500
,1,300,Ground out of 3,,Ballygunge,'-9 Kolkata,,Bachelo{rs/Family@,1,Contact Owner,6000
44718,,,Ground out of 1,Super Area,,>-9 Kolkata,,Fam-il<y,2,Contact Owner,10000
44701,2,,3 out of 3,,,India-? Kolkata,,Bach$e>lors,1,Contact Owner,4600
44744,2,650,Ground out of 1,,"Baishnabghata Patuli Township, Patuli",!-9 Kolkata,Unfurnished,Famil^y@,2,Contact Owner,12000
,3,2000,Ground out of 2,Super Area,Behala,}-9 Kolkata,Semi-Furnished,,2,Contact Owner,30000
44693,,1068,Ground out of 3,Super Area,Bansdroni,India-? Kolkata,Semi-Furnished,Bache-lors/Fami*ly,2,Contact Owner,15000
44734,1,150,1 out of 1,Super Area,Salt Lake City,#-9 Kolkata,Furnished,Bachelor$s/F=amily,1,,7500
44737,1.0 room,450,2 out of 2,Carpet Area,New Town,India-$ Kolkata,Unfurnished,,1,Contact Owner,7500
44745,2,800,Ground out of 1,CARPET AREA,Baruipur,]-9 Kolkata,Unfurnished,Bachelors/Fam&i:ly,1,Contact Owner,5000
44674,2,1000,Ground out of 2,Super Area,Bansdroni,India-< Kolkata,Unfurnished,Bache}lors/Fa@mily,2,Contact Owner,15000
44695,,900,5 out of 5,Super Area,Pancha Sayar,India-} Kolkata,Semi-Furnished,Bachelo|rs<,1,Contact Owner,11000
44708,1,600,,,Behala,India-> Kolkata,Unfurnished,Bachel-or=s/Family,1,Contact Owner,7000
44731,2,1200,1 out of 1,Super Area,Hooghly-Chinsurah,India-$ Kolkata,Unfurnished,,1,Contact Owner,6000
44731,2,,2 out of 2,Super Area,Hooghly-Chinsurah,India-} Kolkata,Semi-Furnished,Bac&he[lors,2,Contact Owner,6000
44744,2,,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",$-9 Kolkata,Semi-Furnished,,2,Contact Owner,7000
44748,2,720,4 out of 4,Carpet Area,,India-] Kolkata,Semi-Furnished,,2,Contact Owner,8500
44744,1,300,1 out of 3,Carpet Area,,]-9 Kolkata,Unfurnished,Bac['helors,1,Contact Owner,5000
44733,3,1200,Ground out of 2,,VIP Road Haldiram,,Unfurnished,"Bac+helors/Fam,ily",3,Contact Agent,30000
44716,2,,7 out of 8,Carpet Area,,,,Ba#@chelors/Family,2,,10000
44736,3,2000,1 out of 3,Super Area,Naihati,<-9 Kolkata,Semi-Furnished,Ba'chelors>/Family,2,Contact Owner,30000
44695,1,,Ground out of 4,Super Area,Baksara,India-: Kolkata,Semi-Furnished,"Bachelor!s/Fam""ily",,,3500
44738,2,1100,Ground out of 3,Carpet Area,Naihati,<-9 Kolkata,Unfurnished,Bac!%helors,1,Contact Owner,8000
44744,,,Ground out of 2,Carpet Area,,,Unfurnished,Bachelors/Family((,1,Contact Owner,5000
44686,2,,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",India-@ Kolkata,Semi-Furnished,Bachelors/Fa/mily^,1,Contact Owner,7500
44699,2,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",--9 Kolkata,Unfurnished,Bachelors/Fami-ly\,1,Contact Owner,6500
,1,,1 out of 3,Super Area,Jadavpur,India-# Kolkata,Unfurnished,Bachelors/Fam#i.ly,1,,7500
44719,1,680,Ground out of 2,Super Area,Jadavpur,^-9 Kolkata,Unfurnished,,1,Contact Owner,7500
44738,2,,,Carpet Area,Salt Lake City Sector 1,--9 Kolkata,Semi-Furnished,(Bachelo*rs,1,Contact Agent,16000
44738,2,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,India-+ Kolkata,,,1,Contact Agent,16000
44711,2,,Ground out of 2,,,+-9 Kolkata,Unfurnished,Bachel^:ors,1,Contact Owner,6500
44703,3,1500,,,Beliaghata,India-& Kolkata,Unfurnished,=-Bache^lors/Family,,Contact Owner,40000
44730,2,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat","India-, Kolkata",Semi-Furnished,Bachelors/Fam:il>y,2,Contact Owner,12500
44720,2.0 room,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",%-9 Kolkata,,"=Bachelors/Fa""mily",1,Contact Owner,5500
,1,,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",India-} Kolkata,Semi-Furnished,Bachel\o}rs/Family,1,Contact Owner,5000
44684,2,700,Ground out of 2,Super Area,Sonarpur,>-9 Kolkata,Unfurnished,Bach=elors*,1,Contact Owner,6500
44693,1,,1 out of 2,Super Area,Lake Town,India-( Kolkata,Unfurnished,Bach#elors/Fam?ily,,Contact Owner,8000
,,1800,,,Belghoria,India-- Kolkata,Semi-Furnished,Bachel+ors/=Family,2,Contact Owner,14500
44704,1,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",India-_ Kolkata,Semi-Furnished,Bachelo.)rs/Family,1,Contact Owner,8200
44704,2,480,Ground out of 3,Carpet Area,shukhobrishti,@-9 Kolkata,Furnished,Bachelors/F{amily;,,Contact Owner,15000
44733,6,1000,1 out of 1,,Sonarpur,India-* Kolkata,Semi-Furnished,Bache)lors/Fami#ly,2,Contact Owner,20000
,2,800,1 out of 2,,"Baishnavghata patuli , house number s-300 Kolkata 700094",(-9 Kolkata,,/Ba#chelors/Family,1,Contact Owner,6700
44708,,435,,Super Area,Kasba,.-9 Kolkata,Unfurnished,Bac=helor\s/Family,1,Contact Owner,10000
44688,2,700,Ground out of 2,Carpet Area,Dum Dum Metro,India-| Kolkata,Semi-Furnished,Bache=l[ors/Family,2,,7000
44737,2,800,4 out of 4,Super Area,"Hazra, Kalighat",=-9 Kolkata,Furnished,"Bach<elo,rs/Family",,Contact Agent,22000
,2,450,1 out of 3,Super Area,Ajoy Nagar,India-] Kolkata,,*;Bachelors/Family,1,,6500
44712,2,,,Carpet Area,Kasba -East,India-( Kolkata,Semi-Furnished,Bachelors/Fam.il\y,1,Contact Agent,8500
,2,800,,Carpet Area,Salt Lake City,India-@ Kolkata,Unfurnished,B+ach=elors,2,Contact Agent,18000
44739,2,550,,Carpet Area,,#-9 Kolkata,Semi-Furnished,Fam(il@y,2,Contact Owner,12000
,1,600,2 out of 4,Super Area,,India-+ Kolkata,Furnished,Bachelor_s/{Family,1,Contact Owner,9000
44721,1,,Ground out of 1,,"New Garia, Garia",@-9 Kolkata,Unfurnished,Bache_lors/F)amily,1,Contact Owner,6000
44679,2,,1 out of 2,,Anandapur,India-[ Kolkata,Furnished,,2.0 Bathrooms,,20000
44704,1,300,,Carpet Area,Dum Dum Metro,",-9 Kolkata",Unfurnished,Bachelors/}F<amily,1,Contact Owner,5000
44740,2,1200,,Super Area,Boral,--9 Kolkata,Furnished,"Bach,elo-rs/Family",,Contact Owner,12000
44735,,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur","India-"" Kolkata",Semi-Furnished,Bach^elors/Fam/ily,1,Contact Owner,10000
44680,,1200,1 out of 2,Super Area,Bagbazar,+-9 Kolkata,Unfurnished,,2,Contact Owner,18000
44725,2,,1 out of 2,Carpet Area,Salt Lake City Sector 1,(-9 Kolkata,Semi-Furnished,Bachelors/F{am{ily,2,Contact Agent,15000
,3,1300,,Carpet Area,,India-- Kolkata,Unfurnished,"B}achelors/Fami,ly",,,22000
44725,4,,1 out of 5,,Salt Lake City Sector 3,,Unfurnished,Bachel!ors/Family},3,Contact Agent,35000
,3,1450,Ground out of 1,,Ajoy Nagar,/-9 Kolkata,,,,,21000
44748,2,1100,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",_-9 Kolkata,Furnished,"Ba-che""lors",,Contact Agent,25000
,2,,,Carpet Area,"Avenue S, Santoshpur",_-9 Kolkata,Unfurnished,?Bach+elors/Family,2,Contact Owner,180000
44718,1,,,,Pratiraksha Nagar,,Unfurnished,Bac&helor+s/Family,1,Contact Owner,6000
44746,2,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",India-_ Kolkata,Unfurnished,Bach|elors/Fam[ily,2,Contact Owner,14000
44696,3,750,Ground out of 2,Super Area,,"India-"" Kolkata",Unfurnished,Fa>\mily,1,Contact Owner,8000
44685,,1000,Ground out of 1,Super Area,"Purbasan, Thakurpukur",India-: Kolkata,,Bachel'ors/F{amily,1,Contact Owner,8000
44676,1,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",,Furnished,Bache^lors/;Family,1,Contact Owner,6000
44702,1,300,1 out of 3,Carpet Area,"Naktala, Garia",India-? Kolkata,Semi-Furnished,B!achelor%s,1,Contact Agent,8000
44739,,300,Ground out of 1,CARPET AREA,Tiljala Road,,Unfurnished,"Bache=lors/Fami""ly",1,,6000
44744,1,,,Super Area,Sankaritola,?-9 Kolkata,Semi-Furnished,Bachelo}rs/Fa_mily,1,Contact Owner,20000
,3,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",India-% Kolkata,Unfurnished,,2,Contact Owner,12000
,3,1600,,Super Area,Garia,^-9 Kolkata,Unfurnished,Bachelo=rs:/Family,2,Contact Owner,15000
44696,,1000,,,Kasba,+-9 Kolkata,Unfurnished,Bac|helors/Fami{ly,2,Contact Owner,14000
44711,1,20,2 out of 3,Super Area,Dakshineswar,)-9 Kolkata,Unfurnished,Bache$lors/Famil@y,1,Contact Owner,5000
44722,2,400,Ground out of 2,Carpet Area,chatana,*-9 Kolkata,Unfurnished,Bac*he{lors/Family,1,Contact Owner,7000
44735,,200,2 out of 2,,Shyam Bazar,'-9 Kolkata,Furnished,;Bachelors$/Family,1,Contact Owner,3900
44721,3,840,1 out of 4,Carpet Area,Mukundapur,%-9 Kolkata,,Bac|.helors,2,Contact Owner,14000
,1,300,,Carpet Area,Salt Lake City Sector 5,India-& Kolkata,Unfurnished,Bachelors]/Fa;mily,1,Contact Agent,6300
,,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,$-9 Kolkata,Furnished,=Bachelors&/Family,,Contact Agent,13000
44745,1,,1 out of 2,,Salt Lake City Sector 5,India-( Kolkata,Unfurnished,_Bach]elors/Family,1,Contact Agent,6800
44695,2,800,1 out of 1,,Behala Chowrasta,,Unfurnished,"*Bachelors/Fami""ly",2,Contact Owner,8000
44691,2,740,Ground out of 6,Carpet Area,Sonarpur,,Unfurnished,Bach*elors&,1,Contact Owner,10000
44676,2,1300,1 out of 1,Super Area,Santoshpur,!-9 Kolkata,Unfurnished,Bac)helors!/Family,2,Contact Owner,18000
44725,2,,Ground out of 1,Super Area,"Garia Station, Garia","India-, Kolkata",Semi-Furnished,Bachelors/=^Family,1,Contact Owner,8000
44687,2,490,1 out of 1,SUPER AREA,Entally,<-9 Kolkata,,Bachelors/Fa?mily?,,Contact Owner,8000
44720,1,250,2 out of 2,Super Area,,India-_ Kolkata,Furnished,Bache|lor/s/Family,1,Contact Owner,4700
44720,1,250,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",)-9 Kolkata,Furnished,"Ba{chelors""/Family",1,Contact Owner,4700
44687,1,450,1 out of 2,,"Rabindra Pally, Keshtopur",+-9 Kolkata,Unfurnished,Bachelors/Fami$l!y,1,,4500
44742,,300,Ground out of 1,Carpet Area,Salt Lake City Sector 1,(-9 Kolkata,Semi-Furnished,"B,achelors/Fami>ly",1,Contact Owner,6000
44736,2,750,1 out of 3,,"Rajdanga Gardens, Kasba",?-9 Kolkata,Unfurnished,Bachelors/Fami}]ly,2,Contact Owner,16000
44743,1,,1 out of 2,Super Area,,India-= Kolkata,,Bach|elors/Fami%ly,1,,4700
44729,,,,Carpet Area,,India-< Kolkata,Unfurnished,Ba#ch-elors,1,Contact Owner,14000
44738,,900,Ground out of 2,Carpet Area,Lake Town,India-. Kolkata,Semi-Furnished,Bachelors!-,1,,9000
44735,,400,1 out of 3,Carpet Area,,,Semi-Furnished,Bachelors/F?amil$y,1,,5000
44725,2,1000,Ground out of 2,Carpet Area,Salt Lake City,India-; Kolkata,Semi-Furnished,B(achelors/Fa@mily,2,Contact Agent,17500
,2,,Ground out of 1,Carpet Area,South Baksara,%-9 Kolkata,Unfurnished,Bache;l'ors/Family,1,Contact Owner,8500
44707,3,1500,1 out of 1,Carpet Area,,?-9 Kolkata,Semi-Furnished,+Fami|ly,,,15000
44676,2,750,1 out of 3,,"Sukhpally, Haltu",|-9 Kolkata,Unfurnished,"Bachelors/F,a^mily",2,Contact Owner,12500
44692,1,1200,2 out of 4,Super Area,Kasba,India-' Kolkata,Semi-Furnished,Bach^+elors/Family,1,,13000
44687,2,700,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",^-9 Kolkata,Unfurnished,,1,Contact Owner,8000
44691,,700,4 out of 4,CARPET AREA,Garia Dhalua Nabapally,}-9 Kolkata,Furnished,,,Contact Owner,8000
44702,2,1000,Ground out of 2,,"Chinar Park, Rajarhat",)-9 Kolkata,Semi-Furnished,Bache>lo%rs/Family,1,Contact Owner,8000
44724,2,1200,1 out of 3,Super Area,Konnagar,/-9 Kolkata,,Bache.l[ors/Family,2,Contact Owner,7000
44717,,550,2 out of 3,,Behala silpara,(-9 Kolkata,Furnished,B#achelors/Fam|ily,1,Contact Owner,2200
44737,2,800,Ground out of 4,Carpet Area,Vip Road,*-9 Kolkata,Unfurnished,Bache?+lors,1,Contact Owner,8000
44723,2,280,1 out of 3,,New Barrakpur,India-+ Kolkata,Unfurnished,B{achelo+rs,1,Contact Owner,5500
44746,3,1100,Ground out of 2,Super Area,"Thakurpukur, Kolkata",,Unfurnished,B?achelors/Family},3,,20000
44691,2,,Ground out of 2,Super Area,Kaikhali,,Unfurnished,,,Contact Agent,7000
44694,1,250,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",India-^ Kolkata,,B-achelo^rs/Family,1,Contact Owner,3500
44691,2,1000,Ground out of 2,Carpet Area,,,Unfurnished,Bachelors@@,1,Contact Owner,5000
44742,,,,,,India-* Kolkata,,Bachelo;r!s/Family,,Contact Owner,20000
44708,2,,Ground out of 2,Super Area,,--9 Kolkata,Unfurnished,Ba}chelo.rs/Family,1,Contact Owner,7000
44720,2,700,1 out of 2,Super Area,Benia Pukur,#-9 Kolkata,Unfurnished,,2,Contact Owner,10000
44696,2,700,Ground out of 3,Carpet Area,Baguiati,,Unfurnished,Ba/chel+ors,1,Contact Owner,7000
44741,,1000,Ground out of 3,Super Area,E M Bypass,--9 Kolkata,Semi-Furnished,Bachelors/>Fami&ly,2,Contact Owner,12000
44694,,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",India-? Kolkata,Unfurnished,B&ach-elors,2,Contact Owner,14500
44706,1,700,,Super Area,"VIP Nagar, E M Bypass",India-| Kolkata,Unfurnished,,1,Contact Owner,6000
,2,700,1 out of 2,Super Area,,India-( Kolkata,Unfurnished,Ba|chelors/F>amily,,Contact Owner,9500
44739,2,450,,Carpet Area,Behala,,Semi-Furnished,;Bachelors/F%amily,2,Contact Owner,10000
44687,1,120,Ground out of 3,Super Area,Dum Dum Cantonment,$-9 Kolkata,Unfurnished,";""Bachelors/Family",1,Contact Owner,3500
44713,2,800,,Super Area,"New Garia, Garia",$-9 Kolkata,Semi-Furnished,}Bachelors//Family,2,Contact Owner,9000
,3,1220,2 out of 3,Carpet Area,Salt Lake City Sector 3,;-9 Kolkata,Unfurnished,;Bachelors/Fa+mily,2,Contact Owner,40000
44735,,1100,Ground out of 3,Super Area,Mominpur,$-9 Kolkata,,B#achelors/?Family,1,Contact Owner,16500
44724,3,700,,Carpet Area,"Halisahar Station Road, Kanchrapara",India-| Kolkata,Unfurnished,Fa_mi=ly,2,Contact Owner,8000
44691,2,800,,Super Area,Santoshpur,$-9 Kolkata,Furnished,Bache&lor#s/Family,1,Contact Owner,12000
44739,2,670,2 out of 2,,"Dunlop, Dakshineswar, Belgharia Expressway",India-# Kolkata,,F]amily\,1,,6500
44681,4,1300,1 out of 2,Super Area,Ballygunge,,Unfurnished,B\achelor!s/Family,,Contact Owner,40000
44687,1,,Ground out of 2,Super Area,Baguihati,India-# Kolkata,Semi-Furnished,Bac/helors/Fam|ily,1,Contact Owner,5000
44705,2,700,,Super Area,Kabardanga,,,Bachelo;rs/Family^,1,Contact Owner,9000
,1,240,,,Jadavpur,India-= Kolkata,Unfurnished,#.Bachelors,1,Contact Owner,7000
44700,2,850,2 out of 4,Carpet Area,Behala Chowrasta,,Semi-Furnished,Family^+,1,Contact Owner,18000
44707,1,950,1 out of 2,Super Area,Haltu,,Unfurnished,!Bachelors/Fa*mily,2,Contact Owner,9000
44723,1,450,1 out of 2,Carpet Area,Botanical Garden Area,India-: Kolkata,Furnished,B}ac^helors/Family,,Contact Owner,5500
44720,2,800,Ground out of 2,,Bonhooghly,:-9 Kolkata,Unfurnished,,1,Contact Owner,7500
44744,2,600,1 out of 2,Carpet Area,Nilgung Old Bazar,India-{ Kolkata,Unfurnished,B#achel<ors/Family,1,Contact Owner,4000
,3,800,,Carpet Area,"Teghoria, Baguiati",/-9 Kolkata,Unfurnished,Bachel}ors^,2,Contact Owner,10500
44745,3,,Ground out of 2,Carpet Area,Survey Park,India-/ Kolkata,Unfurnished,Bachelors/F&amil|y,2,Contact Owner,15000
44728,2,800,,Carpet Area,Baguiati,India-? Kolkata,Furnished,Bach{elo$rs/Family,1,Contact Owner,15000
44694,,2200,2 out of 5,Super Area,Kanchrapara,,Furnished,,,Contact Owner,50000
44720,2,950,,Carpet Area,"Jote Shibrampur, Joth Shibrampur",India-< Kolkata,Unfurnished,Bachelors&#,2,Contact Owner,12000
44676,2,550,2 out of 3,Carpet Area,Ultadanga,"India-, Kolkata",Unfurnished,Bachelo}rs/Fam?ily,1,Contact Owner,11000
44716,2,1800,1 out of 1,Carpet Area,Birati,,Unfurnished,B$!achelors,2,Contact Owner,12000
44692,2,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",,,Bach*elors%/Family,,Contact Owner,8000
44708,2,600,Ground out of 3,Super Area,Bagha Jatin Pally,@-9 Kolkata,Semi-Furnished,Bachelo#r[s/Family,2,Contact Owner,18000
44675,2,750,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,*-9 Kolkata,Semi-Furnished,B<ach%elors/Family,,Contact Owner,8000
44691,2,685,2 out of 3,SUPER AREA,Dum Dum Metro,}-9 Kolkata,Unfurnished,Bache+lors/Famil_y,1,Contact Agent,7000
44705,1,44,,Carpet Area,Baranagar,India-[ Kolkata,Furnished,&\Bachelors/Family,1,Contact Owner,6500
,4,1200,Ground out of 2,,Tollygunge,India-= Kolkata,Unfurnished,)Bachelors&/Family,1,Contact Owner,13000
44686,2,500,Ground out of 2,,Airport Near Gate No. 21/2,India-< Kolkata,Unfurnished,Bac?.helors,1,Contact Owner,9000
44680,4,,2 out of 2,Carpet Area,Purbasa,,Unfurnished,?Bache>lors/Family,2,Contact Owner,10000
,2,,1 out of 3,Super Area,Jadavpur,India-; Kolkata,Unfurnished,Bachelors/Fam=ily*,2,Contact Owner,12000
44738,2,392,Ground out of 2,Super Area,Jadavpur,India-_ Kolkata,Unfurnished,&Bachelors/Fam^ily,1,Contact Owner,5000
,2,700,1 out of 2,,Barasat-Barrackpore Road,{-9 Kolkata,Unfurnished,Bache?lo\rs/Family,1,Contact Owner,6000
44700,1,750,2 out of 4,Super Area,Keshtopur,India-& Kolkata,Unfurnished,Bac(helors/F]amily,,Contact Owner,5200
44719,3,,1 out of 2,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",>-9 Kolkata,Unfurnished,_Fa(mily,,Contact Owner,15000
44680,2,,Ground out of 1,Super Area,Keshtopur,--9 Kolkata,Unfurnished,,2,Contact Owner,9000
44745,1,710,1 out of 1,,Salt Lake City Sector 1,India-{ Kolkata,Furnished,|Bachelors=,,Contact Agent,24000
44707,1.0 room,400,Ground out of 3,Carpet Area,jadavpur central park east,,Unfurnished,<B)achelors/Family,1,Contact Owner,5500
44736,1,700,1 out of 2,Carpet Area,Garia,,Unfurnished,,1,Contact Owner,10000
44745,2,1000,Ground out of 2,Carpet Area,Tn Chatterjee Street,India-# Kolkata,Semi-Furnished,Bachelors/Fam&ily%,1,Contact Owner,15000
44724,1,250,1 out of 2,Super Area,Kaikhali,,Furnished,"B""achelors-/Family",1,Contact Owner,4700
44695,1,500,Ground out of 3,Carpet Area,Bata Nagar,,Semi-Furnished,Bach$elo;rs/Family,1,Contact Owner,5000
44701,2,450,,,,India-[ Kolkata,,Bache#lors]/Family,1,Contact Owner,5000
44739,3,1400,1 out of 3,Super Area,Survey Park,,Unfurnished,Bache?l+ors/Family,1,Contact Owner,15000
44695,1,500,1 out of 1,Carpet Area,Bata Nagar,]-9 Kolkata,Semi-Furnished,"Bachelors/<Family,",1,Contact Owner,5000
44729,2,700,Ground out of 1,Carpet Area,Hatiara Extention,,Unfurnished,]Bach|elors/Family,1,,6000
44716,,1200,1 out of 3,Carpet Area,Salt Lake City Sector 1,India-' Kolkata,Semi-Furnished,Bac<he!lors/Family,1,Contact Owner,18000
44733,2,450,1 out of 2,Carpet Area,Andul,&-9 Kolkata,,,1,Contact Owner,8000
44735,,500,2 out of 2,Carpet Area,Salt Lake City Sector 2,India-- Kolkata,Furnished,Bachel.ors*,1,Contact Agent,13000
44744,2,400,,Carpet Area,locality,,Unfurnished,Ba@ch[elors/Family,1,Contact Owner,7500
44675,3,,Ground out of 1,Super Area,Khardah,)-9 Kolkata,Unfurnished,Bachelo#r}s/Family,2,Contact Owner,12000
44716,2,750,Ground out of 1,Carpet Area,Parnasree Pally,India-_ Kolkata,Unfurnished,Bachelor;(s,1,Contact Owner,11000
44736,1,450,,Super Area,Baghajatin,,Unfurnished,,1,,6000
44731,3,1000,1 out of 2,Carpet Area,Salt Lake City Sector 3,India-> Kolkata,Unfurnished,"Bache""@lors",2,Contact Agent,20000
44745,2,500,1 out of 1,Carpet Area,sarsuna banerjee para,India-' Kolkata,Unfurnished,Bach%elor^s,2,Contact Owner,7000
44731,4,1600,Ground out of 1,Carpet Area,Salt Lake City Sector 3,India-[ Kolkata,Unfurnished,"%""Bachelors",2,Contact Agent,30000
